date,domain,source
2026-03-12,%20%25**)(redacted@redacted.invalid,Phishing.Database
2026-03-12,%20mandrillapp.com,Phishing.Database
2026-03-12,0-105.com,Phishing.Database
2026-03-12,0-9-8-7-6-5-4-3-2-1-0.live,Phishing.Database
2026-03-12,0-amazon.weebly.com,Phishing.Database
2026-03-12,0-amfc.firebaseapp.com,Phishing.Database
2026-03-12,0-whatsapp.com,Phishing.Database
2026-03-12,0.0.0.0forum.cryptonight.net,Phishing.Database
2026-03-12,0.0.0.0mailgate.cryptonight.net,Phishing.Database
2026-03-12,0.0.0.0ns10.cryptonight.net,Phishing.Database
2026-03-12,0.0.0.0ssl.cryptonight.net,Phishing.Database
2026-03-12,0.0.0assets.cryptonight.net,Phishing.Database
2026-03-12,0.0.0dbs.cryptonight.net,Phishing.Database
2026-03-12,0.0.0fileserver.cryptonight.net,Phishing.Database
2026-03-12,0.0.0mail3.cryptonight.net,Phishing.Database
2026-03-12,0.0.0ns6.cryptonight.net,Phishing.Database
2026-03-12,0.0.0t.cryptonight.net,Phishing.Database
2026-03-12,0.0.0wsus.cryptonight.net,Phishing.Database
2026-03-12,0.0l.cryptonight.net,Phishing.Database
2026-03-12,0.0mx03.cryptonight.net,Phishing.Database
2026-03-12,0.232.205.92.host.secureserver.net,Phishing.Database
2026-03-12,0.bgeneral0.repl.co,Phishing.Database
2026-03-12,0.fascinatingsciencemag.com,Phishing.Database
2026-03-12,0.feixue316p.cloudns.biz,Phishing.Database
2026-03-12,0.feixue317p.cloudns.biz,Phishing.Database
2026-03-12,0.feixue318p.cloudns.biz,Phishing.Database
2026-03-12,0.fres-news.com,Phishing.Database
2026-03-12,0.sciiaawuroyagu9524.workers.dev,Phishing.Database
2026-03-12,0.tecnodentalrd.com,Phishing.Database
2026-03-12,0.vsxmfkrvoipzs67.workers.dev,Phishing.Database
2026-03-12,0.xyasrhsju3235.workers.dev,Phishing.Database
2026-03-12,00-5fu.pages.dev,Phishing.Database
2026-03-12,00-663b30.ingress-daribow.ewp.live,Phishing.Database
2026-03-12,00-974a.duckdns.org,Phishing.Database
2026-03-12,00-c1aimn0w.com,Phishing.Database
2026-03-12,00.buh30-00.ru,Phishing.Database
2026-03-12,000-00-000-000000.pages.dev,Phishing.Database
2026-03-12,000-7yt65t564656ythygy.000webhostapp.com,Phishing.Database
2026-03-12,000.abreubueno91.repl.co,Phishing.Database
2026-03-12,0000-1t8.pages.dev,Phishing.Database
2026-03-12,0000.com.my,Phishing.Database
2026-03-12,0000.hopto.org,Phishing.Database
2026-03-12,00000--bancogeneral3.repl.co,Phishing.Database
2026-03-12,0000000000000000000000000.findyourjacket.com,Phishing.Database
2026-03-12,00000000000000000000000000000000000000000.xyz,Phishing.Database
2026-03-12,00000000000000000000000000000000000000dfjjjhv.000webhostapp.com,Phishing.Database
2026-03-12,000000000000000000000000000000000000dbscrfg.000webhostapp.com,Phishing.Database
2026-03-12,00000000000000000000000056000005-102299.weeblysite.com,Phishing.Database
2026-03-12,000000000000000000gg.000webhostapp.com,Phishing.Database
2026-03-12,00000000000000000update.emy.ba,Phishing.Database
2026-03-12,000000000000000ooooo.000webhostapp.com,Phishing.Database
2026-03-12,0000000000000f0i0c0o0h0s0a.000webhostapp.com,Phishing.Database
2026-03-12,0000000000c0.x9xcax2a.workers.dev,Phishing.Database
2026-03-12,000000000a0uutlook.weebly.com,Phishing.Database
2026-03-12,00000000883838383992929292222.ratingandreviews.in,Phishing.Database
2026-03-12,00000000920.us-south.cf.appdomain.cloud,Phishing.Database
2026-03-12,0000000095.godaddysites.com,Phishing.Database
2026-03-12,00000002.c1.biz,Phishing.Database
2026-03-12,0000000666666.000webhostapp.com,Phishing.Database
2026-03-12,0000000o.weebly.com,Phishing.Database
2026-03-12,0000000wer.000webhostapp.com,Phishing.Database
2026-03-12,000000541840000.co.vu,Phishing.Database
2026-03-12,0000006738.vercel.app,Phishing.Database
2026-03-12,000000788-66666666.000webhostapp.com,Phishing.Database
2026-03-12,00000078uu7u8790090900.000webhostapp.com,Phishing.Database
2026-03-12,000000login.weebly.com,Phishing.Database
2026-03-12,000001010010104106.cloud,Phishing.Database
2026-03-12,000002456171.ml,Phishing.Database
2026-03-12,000002456180.ml,Phishing.Database
2026-03-12,000003.000000000013.repl.co,Phishing.Database
